Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2,0,1269.76,15237.12,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (50 GB), Instance type (c5.4xlarge)"
My Estimate,US East (Ohio),,Amazon EC2,0,629.11,7549.32,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (50 GB), Instance type (t3.2xlarge)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,2112.28,25347.36,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Quantity (1), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,77.85,934.2,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),,S3 Standard,0,11.5,138,USD,S3 Standard storage (500 GB per month)
My Estimate,US East (Ohio),,Amazon Route 53,0,456.75,5481,USD,"Hosted Zones (1), Basic Checks Within AWS (50), Number of Elastic Network Interfaces (5)"
My Estimate,US East (Ohio),,Application Load Balancer,0,1038.43,12461.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),,Network Load Balancer,0,458.81,5505.72,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (50 GB per hour), Processed bytes per NLB for TLS (50 GB per hour), Average number of new TCP connections (1 per second), Average TCP connection duration (1 seconds), Processed bytes per NLB for UDP (1 GB per hour), Average number of new UDP Flows (1 per second), Average UDP Flow duration (1 seconds), Average number of new TLS connections (1 per second), Average TLS connection duration (1 seconds)"
,,,,,,,,
,,,,Total,6054.49,,,
,,,,,,,,
,,,,,,,,Changed Storage ammount from 100GB to 50GB and pricing plan from Compute to EC2 Instance type for both application & web server
,,,,,,,,Changed RDS storage amount from 100 GB to 50GB and data storage from Provisioned IOPS SSD to General Purpose SSD
,,,,,,,,Reduced Basic checks within AWS for Route-53 to 50 from 100 and network interfaces from 10 to 5
,,,,,,,,Reduced processed bytes for both lambda & EC2 Instance and IP for ALB
,,,,,,,,Reduced Avg. new connections for ALB
,,,,,,,,Reduced process bytes per NLB and new TCP connections for both TCP and TLS
